shift,start,driver,trailer,start_load,end_load,ops,customers,sources,layovers,window_slack,starts_without_source,starts_with_loaded_trailer,multi_reload,source_after_customer,partial_source_load,handoff_from_previous_driver
0,0,1,9,21484.7628015348,17332.850999624392,9,168 106 154 88 273 204 307,2,1,0,True,True,True,True,True,False
1,0,10,7,4712.48601609805,20983.667542523795,14,160 294 139 318 312 272 78 291 128 243,4,1,0,True,True,True,True,True,False
2,0,4,10,19145.2388943594,19145.2388943594,2,277,1,0,0,True,True,False,True,False,False
3,0,8,0,4635.71450537971,1088.2404556364895,14,45 165 24 304 84 281 214 242 99 274 114,3,1,0,True,True,True,True,False,False
4,0,3,13,23095.7152497282,-1.8189894035458565e-12,9,176 7 211 172 21 285 245 51,1,1,0,True,True,False,True,False,False
5,254,7,12,220.476606373704,0.0,4,151 44 110,1,0,254,False,False,False,False,True,False
6,441,9,11,21290.4770791396,0.0,6,117 40 54 188 60 90,0,0,441,True,True,False,False,False,False
7,467,6,4,20076.1913141696,0.0,1,292,0,0,467,True,True,False,False,False,False
8,565,5,8,20400.000851495,-3.637978807091713e-12,9,143 241 297 132 261 253 171,2,0,565,True,True,True,True,False,False
9,749,11,6,10261.9053164577,22261.9056911155,5,23 137 299,2,0,658,True,True,True,True,True,False
10,767,2,3,0.0,26876.1915980013,9,309 205 265 63 81 239 27,2,1,767,False,False,True,True,False,False
11,1328,7,12,0.0,1261.711396899169,11,192 49 316 141 131 288 302 5 225,2,0,1328,False,False,True,True,False,False
12,1489,6,4,0.0,4.547473508864641e-13,7,201 101 79 296 28,2,0,1489,False,False,True,True,False,False
13,1744,9,11,0.0,1.8189894035458565e-12,3,3 88,1,0,1744,False,False,False,False,False,False
14,1830,4,14,4857.14305987975,282.14305987974967,6,289 275 136 314 124,1,0,1830,True,True,False,True,False,False
15,2165,5,8,-3.637978807091713e-12,1.4551915228366852e-11,4,208 52 91,1,0,2165,False,False,False,False,False,False
16,2189,12,1,0.0,22261.9056911155,5,31 246 59,2,0,2189,False,False,True,True,False,False
17,2275,0,5,95.2381493012663,0.0,3,150 197,1,0,2275,False,False,False,False,True,False
18,2580,11,6,22261.9056911155,22261.905691115502,7,166 155 202 127 268,2,0,2489,True,True,True,True,False,False
19,2899,1,9,17332.850999624392,-2.1827872842550278e-11,9,74 316 177 103 281 139 16,2,0,2899,True,True,True,True,False,False
20,3176,9,11,1.8189894035458565e-12,1507.952331318882,8,69 251 35 12 148 240 58,1,0,3176,False,False,False,False,False,False
21,3320,7,12,1261.711396899169,20642.8580044889,10,322 308 78 88 82 5 230,3,0,3320,True,True,True,True,True,False
22,3378,5,8,1.4551915228366852e-11,20400.000851495006,6,115 255 318,3,0,3378,False,False,True,True,False,False
23,3597,12,1,22261.9056911155,0.0,5,146 11 130 221,1,0,3597,True,True,False,True,True,False
24,3626,0,5,0.0,-1.8189894035458565e-12,9,89 238 126 92 196 24 289,2,0,3626,False,False,True,True,False,False
25,3681,4,14,282.14305987974967,4857.14305987975,1,,1,0,3681,False,False,False,False,True,False
26,3768,2,3,26876.1915980013,26876.1915980013,4,132 142 207,1,0,3768,True,True,False,True,False,False
27,3796,3,13,-1.8189894035458565e-12,3.637978807091713e-12,3,109 123,1,0,3796,False,False,False,False,False,False
28,3819,10,7,20983.667542523795,20983.66754252379,7,39 70 163 219 38,2,0,3819,True,True,True,True,False,False
29,3825,6,4,4.547473508864641e-13,-1.8189894035458565e-12,4,310 205 265,1,0,3825,False,False,False,False,False,False
30,4229,11,6,22261.905691115502,22261.905691115495,10,189 144 151 156 316 78,4,1,4138,True,True,True,True,True,False
31,4793,2,3,26876.1915980013,0.0,1,123,0,0,4793,True,True,False,False,False,False
32,4999,12,1,0.0,22261.9056911155,5,118 8 168,2,0,4999,False,False,True,True,False,False
33,5203,3,13,3.637978807091713e-12,-1.0913936421275139e-11,7,26 46 209 167 281,2,0,5203,False,False,True,True,False,False
34,5307,9,11,1507.952331318882,21290.477079139593,3,123,2,0,5307,False,False,True,True,True,False
35,6265,1,9,-2.1827872842550278e-11,-2.1827872842550278e-11,2,127,1,0,6265,False,False,False,False,False,False
36,6527,10,7,20983.66754252379,1.000444171950221e-11,4,127 171 16,1,0,6527,True,True,False,True,False,False
37,6652,6,4,-1.8189894035458565e-12,20076.1913141696,4,176 79,2,0,6652,False,False,True,True,False,False
38,6671,12,1,22261.9056911155,7.275957614183426e-12,1,88,0,0,6671,True,True,False,False,False,False
39,7056,9,11,21290.477079139593,21290.4770791396,9,5 132 131 272 141 7 56,2,0,7056,True,True,True,True,False,False
40,7310,3,13,-1.0913936421275139e-11,0.0,4,168 228 61,1,0,7310,False,False,False,False,False,False
41,7369,1,9,-2.1827872842550278e-11,721.1371406067883,2,101,1,0,7369,False,False,False,False,False,False
42,7387,4,10,19145.2388943594,8.291545927070729,4,166 160 86 278,0,0,7387,True,True,False,False,False,False
43,7440,0,5,-1.8189894035458565e-12,-9.094947017729282e-13,4,45 289 71,1,0,7440,False,False,False,False,False,False
