origin,destination,origin_kind,destination_kind,distance,time,reverse_distance,reverse_time,distance_delta,time_delta,speed_distance_per_hour
16,41,customer,customer,0.00728617558572899,1,0.00728617558572899,1,0.0,0,0.43717053514373944
16,55,customer,customer,0.00728617558572899,1,0.00728617558572899,1,0.0,0,0.43717053514373944
16,139,customer,customer,0.00728617558572899,1,0.00728617558572899,1,0.0,0,0.43717053514373944
41,16,customer,customer,0.00728617558572899,1,0.00728617558572899,1,0.0,0,0.43717053514373944
41,194,customer,customer,0.00728617558572899,1,0.00728617558572899,1,0.0,0,0.43717053514373944
55,16,customer,customer,0.00728617558572899,1,0.00728617558572899,1,0.0,0,0.43717053514373944
55,194,customer,customer,0.00728617558572899,1,0.00728617558572899,1,0.0,0,0.43717053514373944
139,16,customer,customer,0.00728617558572899,1,0.00728617558572899,1,0.0,0,0.43717053514373944
139,194,customer,customer,0.00728617558572899,1,0.00728617558572899,1,0.0,0,0.43717053514373944
194,41,customer,customer,0.00728617558572899,1,0.00728617558572899,1,0.0,0,0.43717053514373944
194,55,customer,customer,0.00728617558572899,1,0.00728617558572899,1,0.0,0,0.43717053514373944
194,139,customer,customer,0.00728617558572899,1,0.00728617558572899,1,0.0,0,0.43717053514373944
14,178,customer,customer,0.0101899032710041,1,0.0101899032710041,1,0.0,0,0.6113941962602459
14,298,customer,customer,0.0101899032710041,1,0.0101899032710041,1,0.0,0,0.6113941962602459
178,14,customer,customer,0.0101899032710041,1,0.0101899032710041,1,0.0,0,0.6113941962602459
